,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
199,Longyearbyen,NO,21.2,78.22,15.63,67,40,14.99
200,Port Hardy,CA,37.4,50.7,-127.42,93,40,3.36
201,Honiara,SB,81.62,-9.43,159.96,84,32,2.86
202,Ararangua,BR,68.39,-28.93,-49.49,100,80,9.35
203,Boyany,UA,34.29,48.27,26.13,59,75,23.04
204,Haapiti,PF,82.17,-17.57,-149.87,78,75,2.24
205,Hanting,CN,64.88,30.92,118.55,96,68,5.1
206,Bulgan,MN,31.4,48.81,103.53,26,0,4.09
207,Kholmogory,RU,24.8,64.23,41.65,92,0,4.21
208,Brisbane,AU,68.7,-27.47,153.02,94,75,8.05
209,Lodja,CD,71.99,-3.52,23.6,94,0,3.2
210,Agadez,NE,71.6,16.97,7.99,28,0,13.87
211,Port Lincoln,AU,67.58,-34.72,135.86,81,68,4.65
212,Rockland,US,29.17,42.13,-70.92,85,1,6.93
214,Cherskiy,RU,9.62,68.75,161.3,74,88,13.15
215,Comodoro Rivadavia,AR,68,-45.87,-67.48,37,0,12.75
216,Tiarei,PF,82.17,-17.53,-149.33,78,75,2.24
218,Caraguatay,PY,68,-25.24,-56.83,64,75,6.93
219,Linhai,CN,73.09,28.86,121.14,68,48,4
220,Lashio,MM,87.47,22.93,97.75,36,0,3.76
221,Mana,RS,37.24,43.52,20.24,56,0,1.12
222,Arroyo,US,22.48,41.39,-78.88,53,1,3.36
223,Iqaluit,CA,-11.12,63.75,-68.52,69,20,2.24
224,Airai,TL,77.03,-8.93,125.41,87,80,2.3
225,Marawi,PH,80.01,8,124.29,84,80,5.01
226,Wuxue,CN,61.28,29.85,115.56,100,92,3.53
227,Chenghai,CN,75.2,23.46,116.77,69,75,2.24
228,Bethel,US,32,60.79,-161.76,88,1,9.17
229,Terra Santa,BR,79.28,-2.1,-56.49,85,8,4.65
230,Laiyang,CN,68.84,36.98,120.7,22,12,13.04
232,Talnakh,RU,27.44,69.49,88.39,91,88,22.55
233,Zyryanka,RU,11.51,65.73,150.89,63,76,12.15
234,Hukuntsi,BW,75.86,-23.98,21.76,20,36,5.32
235,Piopio,CL,41.14,-42.79,-73.57,100,0,1.12
236,Amga,RU,14.93,60.89,131.98,52,20,5.44
237,Saint-Augustin,FR,39.34,44.83,-0.61,74,0,3.36
239,Fengcheng,CN,58.31,40.45,124.07,43,0,8.12
240,Waipawa,NZ,63,-39.94,176.59,71,88,8.01
243,Boyolangu,ID,81.62,-8.09,111.9,95,32,4.43
244,Egvekinot,RU,26.27,66.32,-179.17,87,76,13.71
245,Hirara,JP,76.12,24.8,125.28,60,20,11.41
246,Charters Towers,AU,80.9,-20.07,146.27,78,80,11.36
247,Piacabucu,BR,78.2,-10.41,-36.43,90,76,5.44
248,Saint-Francois,FR,29.32,46.42,3.91,92,0,2.24
249,Kununurra,AU,100.4,-15.77,128.74,35,40,10.29
250,Shakiso,ET,65.51,5.77,38.9,85,88,3.2
251,Estevan,CA,39.83,49.14,-102.99,100,1,10.29
252,Rome,IT,49.86,41.89,12.48,53,20,3.36
253,San Juan de Uraba,CO,80.54,8.76,-76.53,99,48,18.86
254,Darhan,MN,32.03,49.49,105.92,31,0,5.44
255,Marin,RO,40.05,47.13,22.81,55,0,16.11
258,Saint Anthony,US,35.15,43.97,-111.68,48,1,5.82
259,Santiago,CL,61.68,-33.44,-70.65,76,0,3.36
260,San Carlos de Bariloche,AR,44.6,-41.13,-71.31,45,0,8.05
261,Grand Gaube,MU,86.45,-20.01,57.66,74,40,8.05
262,Tasiilaq,GL,23,65.61,-37.64,67,48,8.05
263,Marsh Harbour,BS,74.42,26.54,-77.06,100,48,6.22
264,Tuktoyaktuk,CA,19.16,69.44,-133.03,96,64,18.52
265,Inirida,CO,74.51,3.87,-67.92,91,48,1.97
267,Kikwit,CD,73.34,-5.04,18.82,86,12,3.65
268,Saldanha,PT,39.95,41.42,-6.55,49,0,11.7
269,Narsaq,GL,15.8,60.91,-46.05,43,32,3.36
272,Kamyshlov,RU,30.86,56.85,62.71,96,56,10.8
273,Portland,US,44.04,45.52,-122.67,61,1,3.76
274,Madison Heights,US,29.01,42.49,-83.11,63,1,3.36
276,Bilma,NE,59.57,18.69,12.92,19,0,7.67
277,Kushima,JP,70.02,31.5,131.29,15,40,17.22
278,Kayseri,TR,44.83,38.73,35.48,56,75,4.21
280,Napier,NZ,72,-39.49,176.92,61,24,5.01
281,Itapaci,BR,70.46,-14.95,-49.55,94,76,7.78
282,Maragogi,BR,76.31,-9.01,-35.22,100,92,2.75
283,Sinnamary,GF,80.18,5.38,-52.96,92,92,12.03
284,Biak,ID,81.08,-0.91,122.88,100,24,2.42
285,Dondo,MZ,80.6,-19.62,34.74,83,40,14.99
286,Okha,RU,19.52,53.59,142.95,92,24,16.84
287,Mehamn,NO,24.84,71.03,27.85,62,0,17.22
288,Chapais,CA,8.6,49.78,-74.86,55,90,5.82
289,Santa Rosa,AR,48.14,-36.62,-64.29,87,0,9.57
290,Saskylakh,RU,23.93,71.97,114.09,88,88,8.01
291,Kalga,RU,26.54,50.92,118.9,30,0,10.58
293,Kiama,AU,69.46,-34.67,150.86,56,40,10.29
294,West Bay,GB,35.64,50.71,-2.76,87,0,2.24
295,Katsuura,JP,66.36,33.93,134.5,59,75,11.41
296,Kerema,PG,79.19,-7.96,145.78,91,64,1.74
297,Sorland,NO,38.39,67.67,12.69,96,75,38.03
298,Winneba,GH,78.8,5.35,-0.62,88,0,6.93
299,Okhotsk,RU,29.96,59.36,143.24,74,68,3.87
300,Samarai,PG,83.87,-10.62,150.67,98,12,12.93
301,Muli,IN,100.16,22.62,71.45,14,0,5.66
303,Peleduy,RU,24.38,59.63,112.75,70,76,3.87
304,Rio Gallegos,AR,44.6,-51.62,-69.22,87,0,5.82
305,Aborlan,PH,87.8,9.44,118.55,70,75,11.41
306,Norfolk,US,35.33,36.85,-76.29,92,1,15.28
307,Robinson,US,32.34,39.01,-87.74,100,1,3.09
308,Krasnovishersk,RU,30.41,60.4,57.08,96,20,10.69
310,Faya,SA,67.19,18.39,42.45,77,20,11.41
311,Ayan,TR,39.41,40.67,33.6,46,12,3.65
312,Burns Lake,CA,32.3,54.23,-125.76,77,88,1.52
313,Pacific Grove,US,55.24,36.62,-121.92,93,1,2.19
317,Barra do Garcas,BR,72.26,-15.89,-52.26,96,76,3.53
318,Itarema,BR,73.07,-2.92,-39.92,97,48,3.65
319,Dasoguz,TM,47.43,41.84,59.97,100,90,9.17
320,Camacha,PT,61.83,33.08,-16.33,72,40,17.22
321,High Point,US,36.91,35.96,-80.01,38,1,3.36
322,Banjar,ID,83.78,-7.37,108.54,77,76,3.65
323,Cidreira,BR,64.16,-30.17,-50.22,90,36,5.66
324,Entre Rios,BR,79.91,-11.94,-38.08,91,88,5.44
325,Ilulissat,GL,1.4,69.22,-51.1,77,68,5.82
326,Lypova Dolyna,UA,36.71,50.56,33.8,90,68,4.54
327,San Lazaro,BZ,75.2,18.04,-88.66,88,40,4.65
328,Scarborough,GB,46.36,54.28,-0.41,81,0,6.93
329,Billings,US,45.07,45.79,-108.5,52,40,9.17
330,Tual,ID,83.96,-5.67,132.75,100,12,12.03
331,Nehe,CN,36.62,48.48,124.88,37,8,11.81
332,Marquette,US,30.96,46.54,-87.4,79,1,11.41
333,Vilyuysk,RU,17.54,63.75,121.63,53,0,6.67
334,Naze,NG,75.14,5.43,7.07,92,56,3.98
335,North Bend,US,43.52,43.41,-124.22,93,1,5.82
336,Tullow,IE,38.8,52.8,-6.74,81,75,6.93
337,Jaciara,BR,77.66,-15.95,-54.98,72,76,7.23
338,Weilmunster,DE,36.34,50.43,8.37,85,20,2.75
339,Hasaki,JP,65.28,35.73,140.83,34,20,13.87
341,Tuatapere,NZ,53.01,-46.13,167.69,82,68,13
342,Suining,CN,65.87,30.51,105.57,79,68,1.97
343,Benghazi,LY,62.36,32.12,20.07,95,0,7.45
344,Kiunga,PG,81.44,-6.12,141.3,87,44,3.09
345,Tromso,NO,30.24,69.65,18.96,100,90,23.04
346,Dikson,RU,31.49,73.51,80.55,98,80,34.96
348,Manono,CD,75.05,-7.3,27.4,87,12,3.76
350,Busca,IT,40.19,44.52,7.47,79,0,5.82
351,Sungaipenuh,ID,70.46,-2.08,101.38,97,88,1.97
352,Mandalgovi,MN,29.78,45.76,106.27,79,0,7.56
353,Nizhniy Tsasuchey,RU,31.04,50.52,115.13,28,0,17.29
354,Meulaboh,ID,81.89,4.14,96.13,100,76,1.41
355,Vostok,RU,23.48,46.45,135.83,56,76,6.11
357,Los Llanos de Aridane,ES,60.8,28.66,-17.92,72,0,3.36
358,Yar-Sale,RU,33.83,66.83,70.83,95,80,19.75
359,Cuyamel,HN,73.36,15.66,-88.19,83,20,5.82
360,Fare,PF,83.6,-16.7,-151.02,100,24,3.87
361,Lata,IN,58.85,30.78,78.62,70,0,1.74
362,La Asuncion,EC,44.54,-1.64,-78.74,100,56,0.18
363,Chiredzi,ZW,72.44,-21.05,31.67,90,76,10.36
364,Hami,CN,57.05,42.84,93.51,59,0,6.89
365,Tessalit,ML,76.94,20.2,1.01,29,92,9.24
366,Vestmannaeyjar,IS,42.8,63.44,-20.27,87,40,27.51
367,Ostrovnoy,RU,18.17,68.05,39.51,82,0,13.71
368,Lebu,ET,66.23,8.96,38.73,55,0,5.44
369,Cayenne,GF,78.8,4.94,-52.33,74,20,3.36
370,Yuzhno-Sukhokumsk,RU,44.9,44.66,45.65,70,0,5.66
371,Kalmunai,LK,89.18,7.42,81.82,64,0,5.32
372,Aygehovit,AZ,39.41,39.36,46.68,88,0,2.3
373,San Jose,PH,82.16,15.79,120.99,66,20,6.78
374,Silifke,TR,51.38,36.38,33.93,78,48,1.63
375,Kharitonovo,RU,32.93,61.4,47.5,92,48,7.23
376,Pangnirtung,CA,-8.39,66.15,-65.72,62,24,2.3
377,Vila do Maio,CV,68,15.13,-23.22,77,75,5.82
378,Concarneau,FR,37.22,47.88,-3.92,93,0,5.82
379,Salamiyah,SY,45.08,35.01,37.05,95,92,4.54
380,Durango,US,48.38,37.28,-107.88,34,90,4.7
381,Novo Aripuana,BR,76.76,-5.12,-60.38,91,48,1.97
382,Rexburg,US,35.08,43.82,-111.79,48,1,5.82
383,Hualmay,PE,63.35,-11.1,-77.61,94,24,3.76
384,Oslo,NO,33.46,59.91,10.74,92,0,2.24
385,Razdolnoye,RU,44.6,43.7,44.53,65,20,4.47
386,La Palma,CO,66.68,5.36,-74.39,99,36,2.19
387,Kaduna,NG,68.66,10.52,7.44,28,8,12.15
389,Aras,YE,68.48,14.28,44.38,46,0,2.75
390,Sabha,LY,54.53,27.03,14.43,54,8,4.09
391,Middlebury,US,17.51,44.01,-73.17,67,1,2.42
392,Ahipara,NZ,69.92,-35.17,173.16,79,92,14.61
393,Huilong,CN,65.42,28.89,110.18,89,76,3.31
395,Beloha,MG,80.9,-25.17,45.06,73,64,5.1
396,Skeldon,GY,79.46,5.88,-57.13,97,92,12.71
397,Ambilobe,MG,79.64,-13.19,49.05,97,92,4.09
398,Peniche,PT,55.65,39.36,-9.38,81,0,4.7
399,Morros,BR,77,-2.87,-44.04,94,20,2.24
400,Nchelenge,ZM,69.56,-9.35,28.74,95,68,3.2
401,Blackwater,GB,41.52,51.33,-0.78,86,12,3.36
403,Pirajui,BR,70.3,-22,-49.46,94,0,8.05
404,Homa Bay,KE,73.4,-0.53,34.45,78,75,4.7
405,Wagar,US,47.39,31.44,-87.99,82,0,6.89
406,Tastur,TN,50.86,36.55,9.44,66,40,11.41
407,Rothes,GB,50.11,57.53,-3.21,76,20,17.22
408,Port Blair,IN,84.2,11.67,92.75,79,75,5.82
409,Davidson,US,39.38,35.5,-80.85,60,1,4.7
410,Gryazi,RU,32.03,52.5,39.96,96,32,6.44
411,Setermoen,NO,30.85,68.86,18.35,86,75,10.29
412,The Valley,AI,77,18.22,-63.06,78,20,9.17
413,Dzhebariki-Khaya,RU,12.59,62.22,135.8,53,12,3.65
414,Dhidhdhoo,MV,84.95,6.88,73.1,100,0,4.65
415,Nuuk,GL,1.7,64.17,-51.74,100,8,3.65
416,Ushtobe,KZ,65.24,45.25,77.98,46,76,4.32
417,Tautira,PF,82.18,-17.73,-149.15,78,75,2.24
418,Luganville,VU,81.98,-15.51,167.18,100,36,13.04
419,Waslala,NI,74.06,13.33,-85.37,64,44,6.44
421,Port Moresby,PG,87.8,-9.47,147.16,66,40,11.41
422,Rundu,NA,73.88,-17.91,19.77,46,0,3.65
423,Vesoul,FR,30.58,47.62,6.16,92,0,2.24
424,Anda,CN,38.15,46.41,125.33,33,0,11.14
425,Belmonte,PT,43,40.36,-7.35,48,0,8.01
426,Barlinek,PL,33.8,53,15.22,83,90,2.24
427,Tucupita,VE,76.58,9.06,-62.05,78,0,8.12
428,Mlimba,TZ,71.63,-8.78,35.81,97,92,3.31
429,Nobeoka,JP,62.01,32.66,131.66,48,0,14
430,Hofn,IS,40.94,64.25,-15.21,99,80,27.81
431,Kaduqli,SD,79.1,11.01,29.72,20,0,11.81
432,Zhigansk,RU,12.05,66.77,123.37,55,0,6.33
433,Praia da Vitoria,PT,56.05,38.73,-27.07,82,40,15.5
434,Ishigaki,JP,75.2,24.34,124.16,69,20,9.17
435,Ilo,PE,57.5,-17.65,-71.34,96,20,2.75
436,Constitucion,MX,62.9,23.99,-104.67,54,44,0.63
437,Calabozo,VE,79.55,8.92,-67.43,53,0,12.93
438,Ingham,AU,79.91,-18.65,146.16,100,64,6.22
439,Guilin,CN,66.2,25.28,110.29,93,90,2.24
440,Gobabis,NA,67.22,-22.45,18.97,71,44,3.09
441,Ugoofaaru,MV,84.41,5.67,73,100,0,4.65
442,Bambui,CM,54.98,6.01,10.23,82,8,2.19
443,Yurga,RU,34.37,55.71,84.93,88,68,7.67
444,Victoria,BN,89.85,5.28,115.24,70,75,6.93
445,Igurubi,TZ,64.43,-4,33.71,100,76,4.76
446,Beringovskiy,RU,29.33,63.05,179.32,89,36,25.68
447,Ghatanji,IN,92.87,20.14,78.32,32,0,9.46
448,Vila,IT,42.46,45.18,8.4,64,0,6.93
449,General Roca,AR,57.2,-39.03,-67.58,54,0,4.7
450,Mahajanga,MG,86,-15.72,46.32,74,20,3.36
451,Izumo,JP,66.2,35.37,132.75,34,75,26.4
452,Batemans Bay,AU,66.61,-35.71,150.18,66,0,3
453,Great Yarmouth,GB,43.16,52.61,1.73,81,75,4.7
454,Carupano,VE,76.94,10.67,-63.26,86,0,11.36
455,Coquimbo,CL,55.4,-29.95,-71.34,93,90,3.36
456,Kahului,US,67.84,20.89,-156.47,82,1,18.34
457,Vysokogornyy,RU,18.08,50.1,139.13,48,76,6.67
458,Beisfjord,NO,32.95,68.38,17.6,93,75,18.34
459,Talaya,RU,41.77,55.79,84.89,38,0,6.71
460,Radhan,PK,88.46,27.18,67.95,60,36,4.43
461,Playa del Carmen,MX,71.82,20.63,-87.08,78,40,5.82
462,Luz,BR,68.93,-19.79,-45.68,87,80,3.42
463,Srednekolymsk,RU,6.65,67.46,153.71,70,80,11.92
464,Xique-Xique,BR,71.54,-10.82,-42.73,100,88,3.76
465,Dicabisagan,PH,78.47,17.08,122.42,93,24,6.67
466,Esna,RO,44.27,45.2,27.57,54,0,10.58
467,Cortez,US,43.97,37.35,-108.58,57,1,3.36
468,Toora-Khem,RU,32.66,52.47,96.11,40,0,3.53
469,Huntington,US,30.09,38.42,-82.45,92,1,3.36
470,Hearst,CA,29.96,49.69,-83.67,51,0,11.14
471,Cap Malheureux,MU,86.43,-19.98,57.61,74,40,8.05
472,Rota,ES,57.16,36.62,-6.36,47,0,3.36
473,Moba,CD,73.7,-7.04,29.77,91,64,5.21
474,Dawlatabad,AF,77.84,36.41,64.91,40,88,16.06
475,Nishihara,JP,67.33,35.74,139.53,68,40,21.92
476,Santiago de Cao,PE,68,-7.96,-79.24,88,75,6.93
477,Oda,JP,66.2,35.19,132.5,34,75,26.4
479,Dongying,CN,63.53,37.43,118.67,39,12,16.96
480,Barreirinha,BR,77.66,-2.8,-57.07,88,0,4.32
481,Noumea,NC,80.6,-22.28,166.46,69,75,9.17
482,Acapulco,MX,75.2,16.86,-99.88,73,5,2.24
